Sample	Tray	Weight
1	1	1.100
1	2	1.108
1	3	1.106
1	4	1.120
1	5	1.109
1	6	1.114
1	7	1.126
1	8	1.135
1	9	1.111
1	10	1.097
1	11	1.119
1	12	1.117
1	13	1.127
1	14	1.117
1	15	1.109
1	16	1.125
1	17	1.095
1	18	1.124
1	19	1.113
1	20	1.123
1	21	1.120
1	22	1.121
2	1	1.102
2	2	1.113
2	3	1.111
2	4	1.121
2	5	1.111
2	6	1.114
2	7	1.125
2	8	1.136
2	9	1.115
2	10	1.099
2	11	1.122
2	12	1.115
2	13	1.125
2	14	1.116
2	15	1.112
2	16	1.126
2	17	1.096
2	18	1.123
2	19	1.115
2	20	1.125
2	21	1.117
2	22	1.120
3	1	1.105
3	2	1.113
3	3	1.112
3	4	1.117
3	5	1.113
3	6	1.113
3	7	1.125
3	8	1.133
3	9	1.115
3	10	1.099
3	11	1.125
3	12	1.115
3	13	1.129
3	14	1.116
3	15	1.111
3	16	1.126
3	17	1.102
3	18	1.126
3	19	1.119
3	20	1.123
3	21	1.116
3	22	1.120
4	1	1.104
4	2	1.114
4	3	1.106
4	4	1.119
4	5	1.116
4	6	1.110
4	7	1.120
4	8	1.131
4	9	1.112
4	10	1.094
4	11	1.121
4	12	1.110
4	13	1.127
4	14	1.113
4	15	1.111
4	16	1.124
4	17	1.100
4	18	1.124
4	19	1.112
4	20	1.124
4	21	1.116
4	22	1.121
5	1	1.107
5	2	1.114
5	3	1.107
5	4	1.118
5	5	1.111
5	6	1.116
5	7	1.119
5	8	1.130
5	9	1.110
5	10	1.093
5	11	1.125
5	12	1.122
5	13	1.110
5	14	1.113
5	15	1.113
5	16	1.119
5	17	1.095
5	18	1.112
5	19	1.123
5	20	1.115
5	21	1.109
5	22	1.123
6	1	1.106
6	2	1.112
6	3	1.107
6	4	1.115
6	5	1.112
6	6	1.111
6	7	1.121
6	8	1.132
6	9	1.110
6	10	1.095
6	11	1.123
6	12	1.115
6	13	1.124
6	14	1.114
6	15	1.107
6	16	1.124
6	17	1.100
6	18	1.126
6	19	1.109
6	20	1.116
6	21	1.113
6	22	1.120
7	1	1.110
7	2	1.113
7	3	1.112
7	4	1.123
7	5	1.118
7	6	1.111
7	7	1.126
7	8	1.134
7	9	1.115
7	10	1.100
7	11	1.128
7	12	1.114
7	13	1.127
7	14	1.116
7	15	1.111
7	16	1.132
7	17	1.102
7	18	1.127
7	19	1.115
7	20	1.123
7	21	1.121
7	22	1.123
8	1	1.110
8	2	1.117
8	3	1.116
8	4	1.121
8	5	1.117
8	6	1.113
8	7	1.128
8	8	1.133
8	9	1.116
8	10	1.099
8	11	1.126
8	12	1.114
8	13	1.127
8	14	1.117
8	15	1.112
8	16	1.131
8	17	1.102
8	18	1.128
8	19	1.114
8	20	1.122
8	21	1.120
8	22	1.124
9	1	1.110
9	2	1.113
9	3	1.114
9	4	1.126
9	5	1.114
9	6	1.114
9	7	1.124
9	8	1.133
9	9	1.116
9	10	1.098
9	11	1.125
9	12	1.114
9	13	1.131
9	14	1.115
9	15	1.111
9	16	1.124
9	17	1.106
9	18	1.127
9	19	1.114
9	20	1.125
9	21	1.116
9	22	1.124
10	1	1.109
10	2	1.114
10	3	1.113
10	4	1.118
10	5	1.111
10	6	1.113
10	7	1.129
10	8	1.135
10	9	1.116
10	10	1.099
10	11	1.126
10	12	1.115
10	13	1.131
10	14	1.114
10	15	1.112
10	16	1.127
10	17	1.103
10	18	1.125
10	19	1.111
10	20	1.120
10	21	1.115
10	22	1.122
11	1	1.094
11	2	1.115
11	3	1.108
11	4	1.117
11	5	1.118
11	6	1.111
11	7	1.127
11	8	1.132
11	9	1.115
11	10	1.097
11	11	1.127
11	12	1.113
11	13	1.130
11	14	1.117
11	15	1.108
11	16	1.125
11	17	1.095
11	18	1.124
11	19	1.112
11	20	1.120
11	21	1.115
11	22	1.125
12	1	1.090
12	2	1.113
12	3	1.105
12	4	1.118
12	5	1.110
12	6	1.112
12	7	1.118
12	8	1.132
12	9	1.114
12	10	1.094
12	11	1.121
12	12	1.113
12	13	1.124
12	14	1.110
12	15	1.108
12	16	1.122
12	17	1.096
12	18	1.123
12	19	1.112
12	20	1.121
